Timestamp,Class,Confidence,X1,Y1,X2,Y2
2026-08-22 00:12:22.345,person,0.75,142,57,637,480
2026-08-22 00:12:22.410,person,0.75,142,57,637,480
2026-08-22 00:12:22.473,person,0.66,108,57,638,480
2026-08-22 00:12:22.538,person,0.71,106,56,638,480
2026-08-22 00:12:22.596,person,0.71,106,56,638,480
2026-08-22 00:12:22.654,person,0.80,108,58,640,480
2026-08-22 00:12:22.715,person,0.80,108,58,640,480
2026-08-22 00:12:22.786,person,0.81,104,44,639,479
2026-08-22 00:12:22.851,person,0.81,104,44,639,479
2026-08-22 00:12:22.912,person,0.84,83,58,636,480
2026-08-22 00:12:22.974,person,0.83,67,59,634,480
2026-08-22 00:12:23.034,person,0.83,67,59,634,480
2026-08-22 00:12:23.103,person,0.77,143,39,640,479
2026-08-22 00:12:23.160,person,0.76,136,62,640,478
2026-08-22 00:12:23.221,person,0.76,136,62,640,478
2026-08-22 00:12:23.277,person,0.75,123,60,639,478
2026-08-22 00:12:23.277,toothbrush,0.51,145,199,371,439
2026-08-22 00:12:23.278,toothbrush,0.41,213,201,368,437
2026-08-22 00:12:23.346,person,0.73,121,44,640,479
2026-08-22 00:12:23.346,toothbrush,0.61,222,198,367,436
2026-08-22 00:12:23.413,person,0.73,121,44,640,479
2026-08-22 00:12:23.413,toothbrush,0.61,222,198,367,436
2026-08-22 00:12:23.475,person,0.74,120,63,640,477
2026-08-22 00:12:23.476,toothbrush,0.26,189,200,372,439
2026-08-22 00:12:23.540,person,0.77,105,42,640,479
2026-08-22 00:12:23.540,toothbrush,0.41,216,197,370,437
2026-08-22 00:12:23.597,toothbrush,0.76,219,197,370,436
2026-08-22 00:12:23.597,person,0.75,79,41,640,479
2026-08-22 00:12:23.659,toothbrush,0.76,219,197,370,436
2026-08-22 00:12:23.660,person,0.75,79,41,640,479
2026-08-22 00:12:23.725,toothbrush,0.77,193,197,369,439
2026-08-22 00:12:23.725,person,0.71,103,41,640,479
